id,CRT1,CRT2,CRT3,CRT_total,maxi1,maxi2,maxi3,maxi4,maxi5,maxi6,regret1,regret2,regret3,regret4,regret5,courses_enrolled,courses_shopped,points_enrolled,time_planning,courses_satisfaction,dec_mode,process_regret,outcome_regret,regret_general,maxi_general,psych_courses,age,birthyear,class,school,gender,handed,major,concentration,reader,programs
25,5,5,47,3,6,6,7,6,2,6,4,4,2,1,2,5,7,16,3-5 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,1,5,3,20,1998,Junior,CC,M,L,Psychology,None,0,1
26,5,5,47,3,3,6,6,6,6,3,6,6,5,7,4,2,3,8,1-3 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,2,5,2,NA,26,1992,Post-bac,CC,F,R,Psychology,None,0,1
27,5,5,47,3,5,6,3,4,5,3,6,5,6,4,5,4,7,15,7-9 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,3,4,3,6,20,1998,Junior,GS,M,R,Psychology,Statistics,0,1
28,10,20,8,0,7,6,7,6,7,7,7,7,7,6,3,4,5,18,3-5 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,3,3,5,8,21,1996,Senior,CC,F,R,Psychology,None,0,1
29,50,5,30,1,5,7,7,6,6,6,6,6,5,6,5,4,6,14,more than 9 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",3,3,3,5,3,33,1985,Senior,GS,F,R,Psychology,None,0,1
30,5,5,47,3,4,3,1,6,4,4,1,1,1,2,1,2,3,7,1-3 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,1,5,3,25,1993,Post-bac,SPS,M,A,Psychology,Psychology,0,1
31,5,100,12,1,5,7,6,7,4,5,7,5,7,3,7,5,10,18,7-9 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",3,2,5,6,8,21,1997,Senior,CC,F,R,Psychology,Classics,0,2
32,5,5,47,3,7,5,5,6,5,5,7,6,5,7,5,5,8,15,7-9 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,3,5,6,1,20,1998,Junior,CC,F,R,Psychology,None,1,1
33,5,5,48,2,4,2,6,7,6,7,5,5,6,2,3,4,7,15,3-5 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,4,2,5,6,22,1996,second semester junior,CC,F,R,Psychology,None,1,1
34,5,100,47,2,3,4,3,5,5,5,4,5,5,4,3,5,5,18,5-7 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,4,2,6,1,19,1999,Sophomore,CC,F,R,"Psychology, Neuroscience & Behavior, Undecided","Pre-Med, Spanish",0,3
35,10,100,24,0,7,5,4,6,1,2,6,7,2,3,4,3,4,12,5-7 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,2,3,5,10,31,1987,Senior,GS,F,R,Psychology,None,0,1
36,105,5,47,2,2,6,1,7,6,6,6,6,7,3,4,3,7,11,1-3 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,1,5,6,1,43,1975,Junior,GS,M,R,Neuroscience & Behavior,Pre-Med,1,2
37,5,20,47,2,4,3,1,6,6,6,5,5,7,6,5,2,4,7,7-9 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,2,2,4,10,23,1995,Post-bac,Continuing Ed.,F,R,Psychology,None,0,1
38,10,100,24,0,2,2,4,4,4,3,7,7,2,6,5,4,4,10,1-3 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",3,2,5,5,5,29,1989,Senior,GS,F,R,Psychology,Pre-Med,0,2
39,5,5,47,3,6,6,2,6,5,6,7,6,6,7,6,5,7,16,more than 9 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,2,6,6,6,21,1997,Senior,CC,F,R,"Psychology, Anthropology",None,0,2
40,5,5,47,3,6,5,7,6,7,1,5,5,2,3,6,5,8,15,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,5,4,6,22,1996,Senior,CC,M,R,Psychology,Pre-Med,1,2
41,10,20,24,0,5,7,6,7,2,4,6,6,5,6,6,5,8,16,3-5 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",3,3,4,5,5,22,1996,Senior,CC,M,R,Psychology,,0,1
42,10,100,12,0,7,1,4,6,6,5,5,4,5,7,2,4,3,12,5-7 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,2,5,2,27,1990,Senior,GS,NA,A,Anthropology,Psychology,0,2
43,10,100,24,0,5,3,2,6,4,3,6,6,5,7,6,5,4,18,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,3,4,5,1,21,1997,Junior,CC,M,L,Psychology,Sustainable Development,1,2
44,10,5,47,2,5,2,2,5,4,4,3,5,3,2,6,4,3,13,3-5 hours,2,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,5,3,5,4,24,1993,Senior,CC,F,R,"Psychology, History",,0,2
45,5,20,47,2,1,2,1,4,5,4,5,5,4,1,5,3,6,12,5-7 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,2,3,5,7,23,1995,Post-bac,SPS,F,R,Psychology,None,0,1
46,10,20,47,1,6,5,4,6,6,3,7,7,7,6,7,1,2,4,3-5 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,1,2,5,9,28,1990,Post-bac,GS,M,R,Psychology,Psychology,0,3
47,10,100,24,0,6,7,2,7,5,5,5,4,4,3,2,4,4,13,5-7 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",3,3,2,3,5,24,1993,Post-bac,Continuing Ed.,F,R,Psychology,None,0,1
48,10,5,47,2,7,7,2,4,7,4,4,4,2,4,7,4,4,12,5-7 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",3,1,5,5,NA,25,1993,Senior,GS,M,R,Psychology,None,0,1
49,5,100,7,1,7,3,2,5,7,5,6,5,2,5,4,4,5,14,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",4,4,5,4,1,20,1997,Junior,CC,M,R,Psychology,poli sci,0,2
50,5,100,3,1,3,2,1,6,2,2,4,5,5,2,3,4,6,14,3-5 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,1,1,4,4,22,1996,"Taking 6 years total to graduate undergrad, currently on the 5th year",GS,NA,R,Psychology,None,1,2
51,5,5,47,3,6,5,6,3,5,2,7,4,5,5,6,5,7,18,5-7 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",5,2,5,6,4,20,1997,Junior,CC,F,R,Psychology,None,0,2
52,5,5,47,3,7,6,1,3,5,1,3,2,6,1,1,6,14,18,more than 9 hours,4,"affect-based decision mode (e.g., ""going with your gut"")",2,4,6,2,3,22,1996,Senior,CC,F,A,Political Science,Psychology,1,2
53,10,5,47,2,7,5,3,3,4,5,5,3,2,4,5,4,6,16,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,2,2,5,1,19,1998,Sophomore,CC,M,R,Political Science,Psychology,1,2
54,10,100,24,0,3,5,1,7,7,6,5,6,3,5,4,3,4,7,1-3 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,3,5,2,34,1984,Post-bac,School of Professional Studies,F,R,Psychology,Psychology,0,1
55,5,5,24,2,6,2,5,5,6,4,4,5,3,3,4,5,8,17,7-9 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",4,3,2,5,3,20,1998,Junior,CC,F,R,"Psychology, Political Science",None,0,2
56,5,5,47,3,5,3,2,7,4,7,5,4,3,5,3,4,4,18,less than 1 hour,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,1,5,1,21,1997,Junior,CC,M,R,Psychology,None,0,1
57,5,5,47,3,4,6,1,3,1,1,6,4,5,5,7,6,7,22,3-5 hours,3,"affect-based decision mode (e.g., ""going with your gut"")",3,4,4,4,10,32,1986,Senior,GS,M,R,Psychology,None,0,1
58,5,5,47,3,4,5,3,6,5,5,4,4,5,3,5,7,8,19,1-3 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,2,2,5,6,20,1998,Senior,CC,M,R,"Psychology, Music",None,0,2
59,5,5,47,3,7,1,1,7,7,3,5,1,1,6,7,4,6,16,3-5 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,1,5,1,19,1999,Sophomore,CC,M,R,Psychology,Economics,0,2
60,5,5,47,3,4,4,2,5,6,3,4,5,2,2,6,4,4,16,3-5 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",3,3,3,4,10,22,1995,Senior,CC,F,R,Psychology,None,0,1
61,10,100,24,0,6,6,7,4,5,4,6,4,4,4,6,5,4,16,less than 1 hour,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,2,3,4,5,20,1997,Senior,CC,F,R,Psychology,Pre-Med,0,1
62,10,100,24,0,7,7,7,7,5,7,6,6,6,6,2,5,5,18,more than 9 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,3,5,5,21,1997,Senior,CC,M,R,Psychology,None,0,1
63,5,5,47,3,5,1,3,5,3,5,2,2,2,2,6,2,4,8,7-9 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,4,2,3,5,59,1959,Senior,GS,F,A,Psychology,"Psychology, German",0,2
64,5,100,47,2,6,7,6,7,6,7,7,7,5,6,6,4,6,16,less than 1 hour,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",2,4,2,6,1,21,1997,Junior,CC,M,R,Psychology,Statistics,1,2
65,5,5,47,3,7,6,1,4,2,3,6,5,6,6,7,5,8,19,more than 9 hours,2,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",4,4,6,5,5,21,1997,Junior,CC,F,R,Psychology,Public Health,0,2
66,5,100,47,2,6,6,2,6,7,6,6,7,2,6,5,5,5,18,5-7 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",4,4,3,5,9,21,1997,Senior,CC,M,R,Psychology,None,0,1
67,5,5,47,3,7,4,4,1,4,1,7,7,7,7,7,4,10,15,less than 1 hour,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,6,4,1,22,1996,Senior,CC,M,R,Economics,Psychology,0,2
